"V1","V2"
"A","TMO"
"AAL","DAL"
"AAP","ORLY"
"AAPL","UNP"
"ABBV","AMGN"
"ABC","CAH"
"ABT","HOLX"
"ABT","MDT"
"ABT","TMO"
"ABT","VAR"
"ACN","CTSH"
"ACN","FISV"
"ACN","ORCL"
"ACN","RHT"
"ADBE","CRM"
"ADBE","INTU"
"ADI","TXN"
"ADI","XLNX"
"ADM","PFG"
"ADP","PAYX"
"ADS","DFS"
"ADSK","MCO"
"AEE","XEL"
"AEP","DUK"
"AEP","ETR"
"AEP","FE"
"AEP","PPL"
"AEP","XEL"
"AES","CNP"
"AES","NRG"
"AET","ANTM"
"AET","CNC"
"AET","HUM"
"AET","UNH"
"AFL","PRU"
"AGN","AMGN"
"AGN","MYL"
"AIG","JPM"
"AIV","REG"
"AIV","UDR"
"AIZ","BRK.B"
"AIZ","HRL"
"AJG","MMC"
"AKAM","TEL"
"ALB","EMN"
"ALK","DAL"
"ALL","CINF"
"ALLE","AYI"
"ALLE","FISV"
"ALXN","AMGN"
"AMAT","LRCX"
"AMD","MCHP"
"AME","ITW"
"AME","ROP"
"AMG","IVZ"
"AMG","TDC"
"AMGN","BIIB"
"AMGN","BMY"
"AMGN","CAH"
"AMGN","CELG"
"AMGN","GILD"
"AMGN","INCY"
"AMGN","PFE"
"AMGN","REGN"
"AMGN","TMO"
"AMGN","VRTX"
"AMP","IVZ"
"AMP","LNC"
"AMP","NAVI"
"AMT","CCI"
"AMT","PLD"
"AMZN","GOOGL"
"AN","BBBY"
"AN","BWA"
"AN","KMX"
"ANTM","CI"
"AON","MMC"
"APA","MRO"
"APC","DVN"
"APC","NBL"
"APD","PX"
"APH","MCHP"
"ARE","FRT"
"ARNC","LYB"
"ATVI","EA"
"ATVI","FISV"
"AVB","EQR"
"AVB","ESS"
"AVB","UDR"
"AVGO","SWKS"
"AVGO","TXN"
"AVY","IP"
"AVY","SEE"
"AWK","PNW"
"AXP","DFS"
"AZO","ORLY"
"BA","TXT"
"BAC","C"
"BAX","MAS"
"BBBY","BBY"
"BBBY","SBUX"
"BBBY","SPLS"
"BBT","COF"
"BBT","HBAN"
"BBT","MTB"
"BBT","STI"
"BCR","SYK"
"BDX","SYK"
"BEN","IVZ"
"BEN","TROW"
"BF.B","EL"
"BHI","HAL"
"BK","NTRS"
"BK","STT"
"BLK","GRMN"
"BLK","IVZ"
"BLK","LVLT"
"BLK","MSI"
"BLL","ITW"
"BRK.B","DIS"
"BRK.B","IBM"
"BRK.B","JNJ"
"BRK.B","MMC"
"BRK.B","NDAQ"
"BRK.B","USB"
"BSX","SYK"
"BWA","DLPH"
"BWA","F"
"BWA","GT"
"BXP","KIM"
"BXP","SLG"
"BXP","VNO"
"C","JPM"
"C","MS"
"C","NTRS"
"C","PRU"
"CA","ITW"
"CA","SYMC"
"CAG","MNST"
"CAG","PEP"
"CAH","CVS"
"CAH","MCK"
"CAT","CMI"
"CAT","DE"
"CAT","FCX"
"CAT","PH"
"CB","TRV"
"CB","XL"
"CBG","IVZ"
"CBG","WY"
"CBOE","CME"
"CBS","FOX"
"CBS","SNI"
"CBS","TGNA"
"CBS","TWX"
"CCL","CHD"
"CCL","DAL"
"CCL","MAR"
"CCL","RCL"
"CERN","DGX"
"CF","MOS"
"CHK","DVN"
"CHRW","EXPD"
"CHTR","DIS"
"CINF","MMC"
"CINF","PGR"
"CINF","TRV"
"CL","EL"
"CL","KMB"
"CL","MJN"
"CL","MMC"
"CL","PEP"
"CL","PG"
"CLX","KMB"
"CMA","ZION"
"CMCSA","GPC"
"CME","NDAQ"
"CMG","SNPS"
"CMI","PCAR"
"CMS","DTE"
"CMS","NEE"
"CMS","O"
"CMS","XEL"
"CNP","SRE"
"COF","DFS"
"COF","RHI"
"COG","RRC"
"COH","VFC"
"COL","HON"
"COO","SYK"
"COP","CVX"
"COP","HES"
"COP","MRO"
"COST","PEP"
"COST","WMT"
"COTY","EL"
"CPB","GIS"
"CPB","LNT"
"CSCO","ITW"
"CSX","NSC"
"CSX","UNP"
"CTAS","ITW"
"CTL","LVLT"
"CTXS","FISV"
"CVS","WBA"
"CVX","PSX"
"CVX","XOM"
"CXO","PXD"
"CXO","XEC"
"D","DTE"
"DAL","LUV"
"DAL","UAL"
"DD","DOW"
"DG","DLTR"
"DGX","DVA"
"DGX","LH"
"DGX","TMO"
"DGX","UHS"
"DGX","UNH"
"DHI","LEN"
"DHR","PFG"
"DIS","FOX"
"DISCA","DISCK"
"DISCA","SNI"
"DISH","IVZ"
"DLR","FRT"
"DLTR","TGT"
"DOV","FLS"
"DOV","PH"
"DOW","LYB"
"DPS","PEP"
"DRI","MCD"
"DTE","SRE"
"DVN","EOG"
"DVN","MRO"
"DVN","OKE"
"DVN","RRC"
"DXC","FDX"
"EBAY","URI"
"ECL","HPQ"
"ECL","PX"
"ED","SO"
"ED","WEC"
"EFX","FISV"
"EFX","IDXX"
"EFX","IFF"
"EIX","XEL"
"EMN","ETN"
"EMN","LYB"
"EMR","PH"
"EOG","HP"
"EOG","OXY"
"EOG","XEC"
"EQIX","MA"
"EQT","RRC"
"ES","XEL"
"ESRX","MCK"
"ETFC","SCHW"
"ETN","NSC"
"ETN","PH"
"ETN","ROK"
"ETN","URI"
"EVHC","UHS"
"EW","NWL"
"EXC","PEG"
"EXPD","UPS"
"EXPE","PCLN"
"EXPE","TRIP"
"EXR","PSA"
"F","GM"
"F","PFG"
"F","WFM"
"FAST","GWW"
"FAST","ITW"
"FB","GOOGL"
"FBHS","MAS"
"FBHS","MHK"
"FCX","MOS"
"FCX","NEM"
"FDX","ITW"
"FDX","UPS"
"FFIV","PFG"
"FIS","FISV"
"FIS","GPN"
"FISV","HAS"
"FISV","HD"
"FISV","INTU"
"FISV","IT"
"FISV","MA"
"FISV","MCD"
"FISV","MMC"
"FISV","ORLY"
"FISV","PAYX"
"FISV","RSG"
"FISV","SNPS"
"FISV","TDG"
"FISV","TSS"
"FISV","VRSK"
"FISV","VRSN"
"FISV","XRAY"
"FITB","RF"
"FL","NKE"
"FL","TJX"
"FLIR","USB"
"FLR","FLS"
"FLR","ICE"
"FLR","JEC"
"FLR","PWR"
"FLS","PNR"
"FMC","PX"
"FOX","FOXA"
"FOX","VIAB"
"FRT","HCN"
"FRT","O"
"FRT","PLD"
"FRT","PSA"
"FRT","REG"
"FRT","SPG"
"FTI","HP"
"FTI","NOV"
"GD","ITW"
"GD","NOC"
"GE","ITW"
"GGP","MAC"
"GGP","SPG"
"GIS","HSY"
"GIS","K"
"GIS","MDLZ"
"GIS","MKC"
"GIS","SJM"
"GIS","SYY"
"GLW","ITW"
"GOOG","GOOGL"
"GOOG","MSFT"
"GPC","ITW"
"GPC","TIF"
"GPS","KSS"
"GPS","UAA"
"GS","MS"
"HAL","LYB"
"HAL","SLB"
"HAS","MAT"
"HBI","LKQ"
"HCA","UHS"
"HCN","HCP"
"HCN","VTR"
"HD","LOW"
"HD","MHK"
"HD","TJX"
"HD","TSCO"
"HD","ULTA"
"HIG","PRU"
"HOG","NFLX"
"HOG","PFG"
"HON","ITW"
"HON","TXT"
"HON","VMC"
"HP","RIG"
"HP","SLB"
"HRB","RHI"
"HRS","PFG"
"HSIC","XRAY"
"HST","MAR"
"HST","SLG"
"ILMN","TMO"
"INTC","MSFT"
"INTC","TXN"
"IP","IVZ"
"IPG","OMC"
"IR","ITW"
"IR","WYNN"
"IRM","KIM"
"ISRG","TMO"
"ITW","MMC"
"ITW","MMM"
"ITW","NUE"
"ITW","OMC"
"ITW","PH"
"ITW","PX"
"ITW","SWK"
"ITW","TEL"
"ITW","UTX"
"ITW","XYL"
"IVZ","LKQ"
"IVZ","LUK"
"IVZ","MCO"
"IVZ","NWSA"
"IVZ","SIG"
"JBHT","R"
"JCI","PFG"
"JNPR","TEL"
"JPM","USB"
"JWN","LB"
"JWN","M"
"JWN","TJX"
"KEY","RF"
"KIM","REG"
"KLAC","LRCX"
"KMI","OKE"
"KO","PEP"
"KORS","PVH"
"KR","NAVI"
"KSS","M"
"KSU","NSC"
"L","PFG"
"LEG","MHK"
"LEN","MHK"
"LEN","PHM"
"LLL","NOC"
"LLY","PFE"
"LMT","NOC"
"LNC","PRU"
"LNC","UNM"
"LRCX","TXN"
"MA","PCLN"
"MAA","UDR"
"MAR","WYN"
"MCHP","MU"
"MCHP","QCOM"
"MCHP","TXN"
"MCO","SPGI"
"MDT","PDCO"
"MDT","SYK"
"MET","PRU"
"MHK","SHW"
"MHK","WHR"
"MKC","PEP"
"MKC","TSN"
"MLM","VMC"
"MMC","NLSN"
"MMC","YUM"
"MNK","MYL"
"MO","PEP"
"MO","PM"
"MO","RAI"
"MON","PX"
"MPC","VLO"
"MRK","PFE"
"MRO","MUR"
"MS","RJF"
"MTD","PFG"
"MTD","WAT"
"MU","WDC"
"MYL","PRGO"
"NFX","XEC"
"NI","WU"
"NOC","RTN"
"NTAP","WDC"
"NUE","V"
"NVDA","TXN"
"NWL","PFG"
"NWS","NWSA"
"OKE","WMB"
"PBCT","STI"
"PCAR","R"
"PCG","XEL"
"PEG","XEL"
"PEP","STZ"
"PEP","TAP"
"PEP","VZ"
"PFG","PRU"
"PFG","WU"
"PFG","XRX"
"PKI","TMO"
"PLD","WY"
"PNC","STI"
"PNC","USB"
"PNW","XEL"
"PPG","PX"
"PSX","VLO"
"PVH","RL"
"PVH","VFC"
"RF","STI"
"RF","ZION"
"RJF","SCHW"
"ROST","TJX"
"RSG","WM"
"SCG","XEL"
"SNA","SWK"
"SPGI","YHOO"
"SRCL","VFC"
"STX","WDC"
"SYK","ZBH"
"T","VZ"
"TEL","TXN"
"TGT","TJX"
"TJX","VFC"
"TMK","UNM"
"TMO","WAT"
"TMO","ZTS"
"TSO","VLO"
"USB","WFC"
"WEC","XEL"
